Interaction Type	oln_id_a	oln_id_b
Protein-Protein Interaction	YFL048C	YDL145C
Protein-Protein Interaction	YFL049W	YBR289W
Protein-Protein Interaction	YFL058W	YER125W
Protein-Protein Interaction	YFL059W	YDL059C
Protein-Protein Interaction	YFR001W	YDR510W
Protein-Protein Interaction	YFR002W	YDL116W
Protein-Protein Interaction	YFR002W	YDL207W
Protein-Protein Interaction	YFR002W	YER107C
Protein-Protein Interaction	YFR003C	YER133W
Protein-Protein Interaction	YFR004W	YBL041W
Protein-Protein Interaction	YFR004W	YBR080C
Protein-Protein Interaction	YFR004W	YBR109C
Protein-Protein Interaction	YFR004W	YBR272C
Protein-Protein Interaction	YFR004W	YDL007W
Protein-Protein Interaction	YFR034C	YDL106C
Protein-Protein Interaction	YFR004W	YDL097C
Protein-Protein Interaction	YFR004W	YDL147W
Protein-Protein Interaction	YFR004W	YDR363W-A
Protein-Protein Interaction	YFR004W	YDR394W
Protein-Protein Interaction	YFR004W	YDR427W
Protein-Protein Interaction	YFR004W	YEL037C
Protein-Protein Interaction	YFR004W	YER012W
Protein-Protein Interaction	YFR004W	YER021W
Protein-Protein Interaction	YFR004W	YER049W
Protein-Protein Interaction	YFR004W	YER068W
Protein-Protein Interaction	YFR004W	YER094C
Protein-Protein Interaction	YFR004W	YER143W
Protein-Protein Interaction	YFR004W	YER151C
Protein-Protein Interaction	YFR004W	YFL007W
Protein-Protein Interaction	YFR008W	YDR200C
Protein-Protein Interaction	YFR009W	YDR283C
Protein-Protein Interaction	YFR010W	YDL147W
Protein-Protein Interaction	YFR010W	YER012W
Protein-Protein Interaction	YFR010W	YFR004W
Protein-Protein Interaction	YFR011C	YBR262C
Protein-Protein Interaction	YFR011C	YCL057C-A
Protein-Protein Interaction	YFR013W	YBR245C
Protein-Protein Interaction	YFR014C	YBR109C
Protein-Protein Interaction	YFR014C	YCR075C
Protein-Protein Interaction	YFR036W	YDR260C
Protein-Protein Interaction	YFR014C	YDL143W
Protein-Protein Interaction	YFR014C	YDR099W
Protein-Protein Interaction	YFR014C	YER153C
Protein-Protein Interaction	YFR014C	YER174C
Protein-Protein Interaction	YFR021W	YCL063W
Protein-Protein Interaction	YFR021W	YDL149W
Protein-Protein Interaction	YFR022W	YER125W
Protein-Protein Interaction	YFR024C-A	YAL017W
Protein-Protein Interaction	YFR024C-A	YAR068W
Protein-Protein Interaction	YFR024C-A	YBL007C
Protein-Protein Interaction	YFR024C-A	YBR108W
Protein-Protein Interaction	YFR024C-A	YBR132C
Protein-Protein Interaction	YFR040W	YBR214W
Protein-Protein Interaction	YFR024C-A	YBR239C
Protein-Protein Interaction	YFR024C-A	YCL008C
Protein-Protein Interaction	YFR024C-A	YCR087W
Protein-Protein Interaction	YFR024C-A	YCR088W
Protein-Protein Interaction	YFR024C-A	YDL106C
Protein-Protein Interaction	YFR024C-A	YDL146W
Protein-Protein Interaction	YFR024C-A	YDL150W
Protein-Protein Interaction	YFR024C-A	YDL156W
Protein-Protein Interaction	YFR024C-A	YDL225W
Protein-Protein Interaction	YFR024C-A	YDR182W
Protein-Protein Interaction	YFR024C-A	YER132C
Protein-Protein Interaction	YFR024C-A	YER158C
Protein-Protein Interaction	YFR027W	YBR087W
Protein-Protein Interaction	YFR027W	YBR160W
Protein-Protein Interaction	YFR027W	YDL003W
Protein-Protein Interaction	YFR027W	YER173W
Protein-Protein Interaction	YFR028C	YAL024C
Protein-Protein Interaction	YFR028C	YAL047C
Protein-Protein Interaction	YFR028C	YAR019C
Protein-Protein Interaction	YFR028C	YBL085W
Protein-Protein Interaction	YFR028C	YBR060C
Protein-Protein Interaction	YFR028C	YBR156C
Protein-Protein Interaction	YFR028C	YBR274W
Protein-Protein Interaction	YFR028C	YCL014W
Protein-Protein Interaction	YFR028C	YCR086W
Protein-Protein Interaction	YFR028C	YDL129W
Protein-Protein Interaction	YFR028C	YDL155W
Protein-Protein Interaction	YFR028C	YDL159W
Protein-Protein Interaction	YFR028C	YDR110W
Protein-Protein Interaction	YFR028C	YDR130C
Protein-Protein Interaction	YFR028C	YDR247W
Protein-Protein Interaction	YFR028C	YDR356W
Protein-Protein Interaction	YFR028C	YDR439W
Protein-Protein Interaction	YFR028C	YDR477W
Protein-Protein Interaction	YFR028C	YDR510W
Protein-Protein Interaction	YFR028C	YEL032W
Protein-Protein Interaction	YFR028C	YER125W
Protein-Protein Interaction	YFR028C	YER129W
Protein-Protein Interaction	YFR029W	YDR160W
Protein-Protein Interaction	YFR031C	YBL097W
Protein-Protein Interaction	YFR031C	YDR325W
Protein-Protein Interaction	YFR031C	YDR510W
Protein-Protein Interaction	YFR031C	YFL008W
Protein-Protein Interaction	YFR033C	YBL045C
Protein-Protein Interaction	YFR034C	YDR335W
Protein-Protein Interaction	YFR034C	YER148W
Protein-Protein Interaction	YFR036W	YBL084C
Protein-Protein Interaction	YFR036W	YDL008W
Protein-Protein Interaction	YFR036W	YDR118W
Protein-Protein Interaction	YFR037C	YBR009C
Protein-Protein Interaction	YFR037C	YBR010W
Protein-Protein Interaction	YFR037C	YCR020W-B
Protein-Protein Interaction	YFR037C	YCR052W
Protein-Protein Interaction	YFR037C	YDL156W
Protein-Protein Interaction	YFR037C	YDR303C
Protein-Protein Interaction	YFR037C	YDR510W
Protein-Protein Interaction	YFR040W	YDL047W
Protein-Protein Interaction	YFR044C	YBR281C
Protein-Protein Interaction	YFR046C	YBR160W
Protein-Protein Interaction	YFR046C	YDL028C
Protein-Protein Interaction	YFR046C	YDR374W-A
Protein-Protein Interaction	YFR046C	YER018C
Protein-Protein Interaction	YFR049W	YDR148C
Protein-Protein Interaction	YFR049W	YFL018C
Protein-Protein Interaction	YFR050C	YBL041W
Protein-Protein Interaction	YFR050C	YER012W
Protein-Protein Interaction	YFR050C	YER094C
Protein-Protein Interaction	YFR050C	YER105C
Protein-Protein Interaction	YFR050C	YFR004W
Protein-Protein Interaction	YFR051C	YDL192W
Protein-Protein Interaction	YFR051C	YDR238C
Protein-Protein Interaction	YFR052W	YBR272C
Protein-Protein Interaction	YFR052W	YDL020C
Protein-Protein Interaction	YFR052W	YDL097C
Protein-Protein Interaction	YFR052W	YDL147W
Protein-Protein Interaction	YFR052W	YDR363W-A
Protein-Protein Interaction	YFR052W	YDR427W
Protein-Protein Interaction	YFR052W	YEL037C
Protein-Protein Interaction	YFR052W	YER012W
Protein-Protein Interaction	YFR052W	YER021W
Protein-Protein Interaction	YFR052W	YFR004W
Protein-Protein Interaction	YFR054C	YBR109C
Protein-Protein Interaction	YFR055W	YAR071W
Protein-Protein Interaction	YGL001C	YBR202W
Protein-Protein Interaction	YGL001C	YER044C
Protein-Protein Interaction	YGL003C	YBL084C
Protein-Protein Interaction	YGL003C	YBR082C
Protein-Protein Interaction	YGL003C	YBR138C
Protein-Protein Interaction	YGL003C	YBR160W
Protein-Protein Interaction	YGL003C	YDR099W
Protein-Protein Interaction	YGL003C	YDR113C
Protein-Protein Interaction	YGL003C	YDR451C
Protein-Protein Interaction	YGL003C	YER177W
Protein-Protein Interaction	YGL003C	YFR028C
Protein-Protein Interaction	YGL004C	YBR272C
Protein-Protein Interaction	YGL004C	YDL007W
Protein-Protein Interaction	YGL004C	YDL097C
Protein-Protein Interaction	YGL004C	YDL147W
Protein-Protein Interaction	YGL004C	YDR394W
Protein-Protein Interaction	YGL004C	YDR427W
Protein-Protein Interaction	YGL004C	YER021W
Protein-Protein Interaction	YGL004C	YFR004W
Protein-Protein Interaction	YGL005C	YER157W
Protein-Protein Interaction	YGL006W	YDR352W
Protein-Protein Interaction	YGL008C	YCR024C-A
Protein-Protein Interaction	YGL011C	YBR173C
Protein-Protein Interaction	YGL011C	YDL147W
Protein-Protein Interaction	YGL011C	YER012W
Protein-Protein Interaction	YGL011C	YFL007W
Protein-Protein Interaction	YGL011C	YFR004W
Protein-Protein Interaction	YGL011C	YFR050C
Protein-Protein Interaction	YGL013C	YDR176W
Protein-Protein Interaction	YGL014W	YDL160C
Protein-Protein Interaction	YGL019W	YER148W
Protein-Protein Interaction	YGL019W	YER164W
Protein-Protein Interaction	YGL020C	YDL100C
Protein-Protein Interaction	YGL020C	YER083C
Protein-Protein Interaction	YGL022W	YBL039C
Protein-Protein Interaction	YGL022W	YBL105C
Protein-Protein Interaction	YGL022W	YDL232W
Protein-Protein Interaction	YGL022W	YEL002C
Protein-Protein Interaction	YGL022W	YER087C-B
Protein-Protein Interaction	YGL025C	YBL093C
Protein-Protein Interaction	YGL025C	YBR089C-A
Protein-Protein Interaction	YGL025C	YBR112C
Protein-Protein Interaction	YGL025C	YBR193C
Protein-Protein Interaction	YGL025C	YCR084C
Protein-Protein Interaction	YGL025C	YDL005C
Protein-Protein Interaction	YGL025C	YDR308C
Protein-Protein Interaction	YGL025C	YEL009C
Protein-Protein Interaction	YGL025C	YER022W
Protein-Protein Interaction	YGL026C	YDR510W
Protein-Protein Interaction	YGL027C	YER021W
Protein-Protein Interaction	YGL028C	YFR024C-A
Protein-Protein Interaction	YGL029W	YER006W
Protein-Protein Interaction	YGL029W	YER126C
Protein-Protein Interaction	YGL035C	YBR112C
Protein-Protein Interaction	YGL035C	YDR477W
Protein-Protein Interaction	YGL036W	YBR057C
Protein-Protein Interaction	YGL039W	YDL033C
Protein-Protein Interaction	YGL039W	YER064C
Protein-Protein Interaction	YGL039W	YER125W
Protein-Protein Interaction	YGL043W	YBR109C
Protein-Protein Interaction	YGL043W	YDR443C
Protein-Protein Interaction	YGL044C	YDL140C
Protein-Protein Interaction	YGL044C	YDR228C
Protein-Protein Interaction	YGL044C	YDR301W
Protein-Protein Interaction	YGL044C	YER165W
Protein-Protein Interaction	YGL045W	YCL008C
Protein-Protein Interaction	YGL047W	YBR070C
Protein-Protein Interaction	YGL047W	YBR243C
Protein-Protein Interaction	YGL048C	YBR081C
Protein-Protein Interaction	YGL048C	YBR198C
Protein-Protein Interaction	YGL048C	YDL007W
Protein-Protein Interaction	YGL048C	YDL147W
Protein-Protein Interaction	YGL048C	YDR363W-A
Protein-Protein Interaction	YGL048C	YDR394W
Protein-Protein Interaction	YGL048C	YDR427W
Protein-Protein Interaction	YGL048C	YER012W
Protein-Protein Interaction	YGL048C	YER148W
Protein-Protein Interaction	YGL048C	YFL007W
Protein-Protein Interaction	YGL048C	YFR004W
Protein-Protein Interaction	YGL116W	YDR113C
Protein-Protein Interaction	YGL048C	YFR010W
Protein-Protein Interaction	YGL048C	YFR034C
Protein-Protein Interaction	YGL048C	YGL004C
Protein-Protein Interaction	YGL049C	YDL043C
Protein-Protein Interaction	YGL049C	YDR381W
Protein-Protein Interaction	YGL049C	YER165W
Protein-Protein Interaction	YGL051W	YAR033W
Protein-Protein Interaction	YGL055W	YBR106W
Protein-Protein Interaction	YGL057C	YBR045C
Protein-Protein Interaction	YGL058W	YBR010W
Protein-Protein Interaction	YGL058W	YBR088C
Protein-Protein Interaction	YGL087C	YDR092W
Protein-Protein Interaction	YGL058W	YDL074C
Protein-Protein Interaction	YGL058W	YDL140C
Protein-Protein Interaction	YGL058W	YDR224C
Protein-Protein Interaction	YGL060W	YDR388W
Protein-Protein Interaction	YGL060W	YFR024C-A
Protein-Protein Interaction	YGL061C	YDR201W
Protein-Protein Interaction	YGL061C	YDR320C-A
Protein-Protein Interaction	YGL061C	YDR529C
Protein-Protein Interaction	YGL062W	YBR218C
Protein-Protein Interaction	YGL062W	YER125W
Protein-Protein Interaction	YGL062W	YFL010C
Protein-Protein Interaction	YGL124C	YBR131W
Protein-Protein Interaction	YGL063W	YBR109C
Protein-Protein Interaction	YGL066W	YBR010W
Protein-Protein Interaction	YGL066W	YBR081C
Protein-Protein Interaction	YGL066W	YBR111W-A
Protein-Protein Interaction	YGL066W	YBR198C
Protein-Protein Interaction	YGL066W	YCL010C
Protein-Protein Interaction	YGL066W	YDR145W
Protein-Protein Interaction	YGL066W	YDR224C
Protein-Protein Interaction	YGL070C	YBR154C
Protein-Protein Interaction	YGL070C	YDR404C
Protein-Protein Interaction	YGL070C	YER139C
Protein-Protein Interaction	YGL070C	YGL043W
Protein-Protein Interaction	YGL071W	YBR107C
Protein-Protein Interaction	YGL071W	YBR112C
Protein-Protein Interaction	YGL071W	YDR098C
Protein-Protein Interaction	YGL071W	YDR335W
Protein-Protein Interaction	YGL071W	YEL065W
Protein-Protein Interaction	YGL071W	YER174C
Protein-Protein Interaction	YGL073W	YDR477W
Protein-Protein Interaction	YGL075C	YBR160W
Protein-Protein Interaction	YGL079W	YDR357C
Protein-Protein Interaction	YGL079W	YEL005C
Protein-Protein Interaction	YGL082W	YBR223C
Protein-Protein Interaction	YGL085W	YER118C
Protein-Protein Interaction	YGL086W	YAR002W
Protein-Protein Interaction	YGL086W	YFR028C
Protein-Protein Interaction	YGL090W	YDR369C
Protein-Protein Interaction	YGL090W	YDR510W
Protein-Protein Interaction	YGL092W	YBL079W
Protein-Protein Interaction	YGL092W	YBR017C
Protein-Protein Interaction	YGL092W	YDL116W
Protein-Protein Interaction	YGL092W	YDL207W
Protein-Protein Interaction	YGL092W	YDR192C
Protein-Protein Interaction	YGL092W	YER105C
Protein-Protein Interaction	YGL092W	YGL060W
Protein-Protein Interaction	YGL093W	YAL034W-A
Protein-Protein Interaction	YGL093W	YDL028C
Protein-Protein Interaction	YGL093W	YDR130C
Protein-Protein Interaction	YGL093W	YDR532C
Protein-Protein Interaction	YGL094C	YER165W
Protein-Protein Interaction	YGL095C	YDR323C
Protein-Protein Interaction	YGL095C	YDR468C
Protein-Protein Interaction	YGL097W	YBL085W
Protein-Protein Interaction	YGL097W	YBR010W
Protein-Protein Interaction	YGL097W	YBR160W
Protein-Protein Interaction	YGL097W	YDR225W
Protein-Protein Interaction	YGL098W	YDR498C
Protein-Protein Interaction	YGL099W	YBR101C
Protein-Protein Interaction	YGL099W	YBR267W
Protein-Protein Interaction	YGL099W	YCR072C
Protein-Protein Interaction	YGL099W	YCR088W
Protein-Protein Interaction	YGL099W	YDL191W
Protein-Protein Interaction	YGL099W	YDR101C
Protein-Protein Interaction	YGL099W	YDR381W
Protein-Protein Interaction	YGL099W	YER036C
Protein-Protein Interaction	YGL100W	YDL116W
Protein-Protein Interaction	YGL100W	YER105C
Protein-Protein Interaction	YGL105W	YBL032W
Protein-Protein Interaction	YGL105W	YBR128C
Protein-Protein Interaction	YGL105W	YBR296C
Protein-Protein Interaction	YGL105W	YDR270W
Protein-Protein Interaction	YGL106W	YBR109C
Protein-Protein Interaction	YGL111W	YDR087C
Protein-Protein Interaction	YGL111W	YDR312W
Protein-Protein Interaction	YGL111W	YDR496C
Protein-Protein Interaction	YGL111W	YER126C
Protein-Protein Interaction	YGL111W	YFL002C
Protein-Protein Interaction	YGL112C	YBR010W
Protein-Protein Interaction	YGL112C	YBR081C
Protein-Protein Interaction	YGL112C	YBR111W-A
Protein-Protein Interaction	YGL112C	YCL010C
Protein-Protein Interaction	YGL112C	YCR042C
Protein-Protein Interaction	YGL112C	YDR044W
Protein-Protein Interaction	YGL112C	YDR145W
Protein-Protein Interaction	YGL112C	YDR176W
Protein-Protein Interaction	YGL112C	YDR216W
Protein-Protein Interaction	YGL112C	YDR392W
Protein-Protein Interaction	YGL112C	YEL009C
Protein-Protein Interaction	YGL112C	YGL066W
Protein-Protein Interaction	YGL113W	YBL023C
Protein-Protein Interaction	YGL113W	YBR202W
Protein-Protein Interaction	YGL113W	YDR013W
Protein-Protein Interaction	YGL113W	YEL032W
Protein-Protein Interaction	YGL115W	YCL046W
Protein-Protein Interaction	YGL115W	YDR028C
Protein-Protein Interaction	YGL115W	YDR422C
Protein-Protein Interaction	YGL115W	YER027C
Protein-Protein Interaction	YGL115W	YER129W
Protein-Protein Interaction	YGL115W	YER177W
Protein-Protein Interaction	YGL116W	YBL084C
Protein-Protein Interaction	YGL116W	YBR160W
Protein-Protein Interaction	YGL116W	YDR212W
Protein-Protein Interaction	YGL116W	YGL003C
Protein-Protein Interaction	YGL116W	YGL086W
Protein-Protein Interaction	YGL120C	YAL032C
Protein-Protein Interaction	YGL120C	YDL014W
Protein-Protein Interaction	YGL120C	YDL208W
Protein-Protein Interaction	YGL120C	YDL209C
Protein-Protein Interaction	YGL120C	YDR060W
Protein-Protein Interaction	YGL120C	YER172C
Protein-Protein Interaction	YGL122C	YBR017C
Protein-Protein Interaction	YGL122C	YBR034C
Protein-Protein Interaction	YGL122C	YDL084W
Protein-Protein Interaction	YGL122C	YDR192C
Protein-Protein Interaction	YGL122C	YDR381W
Protein-Protein Interaction	YGL122C	YER165W
Protein-Protein Interaction	YGL124C	YBR160W
Protein-Protein Interaction	YGL124C	YDL077C
Protein-Protein Interaction	YGL127C	YBR193C
Protein-Protein Interaction	YGL127C	YDL005C
Protein-Protein Interaction	YGL127C	YDR308C
Protein-Protein Interaction	YGL127C	YER022W
Protein-Protein Interaction	YGL128C	YER172C
Protein-Protein Interaction	YGL128C	YGL120C
Protein-Protein Interaction	YGL130W	YDL140C
Protein-Protein Interaction	YGL131C	YBR082C
Protein-Protein Interaction	YGL133W	YBR009C
Protein-Protein Interaction	YGL133W	YDR121W
Protein-Protein Interaction	YGL137W	YBR080C
Protein-Protein Interaction	YGL137W	YDL145C
Protein-Protein Interaction	YGL137W	YDL192W
Protein-Protein Interaction	YGL137W	YDR100W
Protein-Protein Interaction	YGL137W	YDR238C
Protein-Protein Interaction	YGL137W	YDR510W
Protein-Protein Interaction	YGL137W	YER023W
Protein-Protein Interaction	YGL137W	YER090W
Protein-Protein Interaction	YGL137W	YER122C
Protein-Protein Interaction	YGL137W	YFR051C
Protein-Protein Interaction	YGR048W	YDL126C
Protein-Protein Interaction	YGL144C	YDR388W
Protein-Protein Interaction	YGL144C	YER125W
Protein-Protein Interaction	YGL144C	YFR024C-A
Protein-Protein Interaction	YGL145W	YDR498C
Protein-Protein Interaction	YGL145W	YGL098W
Protein-Protein Interaction	YGL149W	YDR328C
Protein-Protein Interaction	YGL150C	YAR007C
Protein-Protein Interaction	YGL150C	YBL003C
Protein-Protein Interaction	YGL150C	YBR009C
Protein-Protein Interaction	YGL150C	YBR010W
Protein-Protein Interaction	YGL150C	YDL002C
Protein-Protein Interaction	YGL150C	YDR190C
Protein-Protein Interaction	YGL150C	YDR224C
Protein-Protein Interaction	YGL150C	YDR225W
Protein-Protein Interaction	YGL150C	YEL037C
Protein-Protein Interaction	YGL150C	YFL013C
Protein-Protein Interaction	YGL150C	YFL039C
Protein-Protein Interaction	YGL151W	YBR193C
Protein-Protein Interaction	YGL151W	YER022W
Protein-Protein Interaction	YGL151W	YGL025C
Protein-Protein Interaction	YGL153W	YDL065C
Protein-Protein Interaction	YGL153W	YDR142C
Protein-Protein Interaction	YGL153W	YDR244W
Protein-Protein Interaction	YGL153W	YDR265W
Protein-Protein Interaction	YGL153W	YDR424C
Protein-Protein Interaction	YGL154C	YBR115C
Protein-Protein Interaction	YGL157W	YCR014C
Protein-Protein Interaction	YGL158W	YDR423C
Protein-Protein Interaction	YGL161C	YDR084C
Protein-Protein Interaction	YGL161C	YDR100W
Protein-Protein Interaction	YGL161C	YER125W
Protein-Protein Interaction	YGL162W	YBR112C
Protein-Protein Interaction	YGL163C	YDR386W
Protein-Protein Interaction	YGL163C	YER095W
Protein-Protein Interaction	YGL163C	YER179W
Protein-Protein Interaction	YGL172W	YBR017C
Protein-Protein Interaction	YGL172W	YDL116W
Protein-Protein Interaction	YGL172W	YDR335W
Protein-Protein Interaction	YGL172W	YDR465C
Protein-Protein Interaction	YGL172W	YER110C
Protein-Protein Interaction	YGL172W	YER165W
Protein-Protein Interaction	YGL172W	YFR002W
Protein-Protein Interaction	YGL172W	YGL092W
Protein-Protein Interaction	YGL173C	YBL026W
Protein-Protein Interaction	YGL173C	YCR077C
Protein-Protein Interaction	YGL173C	YDR378C
Protein-Protein Interaction	YGL173C	YDR381W
Protein-Protein Interaction	YGL173C	YEL015W
Protein-Protein Interaction	YGL173C	YER112W
Protein-Protein Interaction	YGL173C	YER146W
Protein-Protein Interaction	YGL173C	YGL120C
Protein-Protein Interaction	YGL174W	YDL209C
Protein-Protein Interaction	YGL178W	YAL021C
Protein-Protein Interaction	YGL178W	YBL016W
Protein-Protein Interaction	YGL178W	YBR160W
Protein-Protein Interaction	YGL178W	YDL160C
Protein-Protein Interaction	YGL180W	YBL078C
Protein-Protein Interaction	YGL180W	YDL149W
Protein-Protein Interaction	YGL180W	YDR022C
Protein-Protein Interaction	YGL181W	YBL007C
Protein-Protein Interaction	YGL181W	YBR112C
Protein-Protein Interaction	YGL181W	YDR388W
Protein-Protein Interaction	YGL181W	YFR024C-A
Protein-Protein Interaction	YGL183C	YGL033W
Protein-Protein Interaction	YGL184C	YER125W
Protein-Protein Interaction	YGL187C	Q0045
Protein-Protein Interaction	YGL187C	YBL030C
Protein-Protein Interaction	YGL187C	YBL045C
Protein-Protein Interaction	YGL190C	YAL016W
Protein-Protein Interaction	YGL190C	YDL188C
Protein-Protein Interaction	YGL191W	YBL045C
Protein-Protein Interaction	YGL191W	YGL187C
Protein-Protein Interaction	YGL192W	YBR057C
Protein-Protein Interaction	YGL194C	YBR103W
Protein-Protein Interaction	YGL194C	YBR112C
Protein-Protein Interaction	YGL194C	YCR033W
Protein-Protein Interaction	YGL194C	YDR155C
Protein-Protein Interaction	YGL195W	YBR017C
Protein-Protein Interaction	YGL195W	YCR059C
Protein-Protein Interaction	YGL195W	YDR214W
Protein-Protein Interaction	YGL195W	YDR283C
Protein-Protein Interaction	YGL195W	YFR009W
Protein-Protein Interaction	YGL197W	YBR225W
Protein-Protein Interaction	YGL197W	YDL047W
Protein-Protein Interaction	YGL198W	YBR264C
Protein-Protein Interaction	YGL198W	YDR084C
Protein-Protein Interaction	YGL198W	YER031C
Protein-Protein Interaction	YGL198W	YFL005W
Protein-Protein Interaction	YGL198W	YGL161C
Protein-Protein Interaction	YGL200C	YAL007C
Protein-Protein Interaction	YGL200C	YAL023C
Protein-Protein Interaction	YGL200C	YAR002C-A
Protein-Protein Interaction	YGL200C	YDL018C
Protein-Protein Interaction	YGL201C	YBL023C
Protein-Protein Interaction	YGL201C	YBR202W
Protein-Protein Interaction	YGL201C	YCL061C
Protein-Protein Interaction	YGL201C	YDL017W
Protein-Protein Interaction	YGL201C	YDR013W
Protein-Protein Interaction	YGL201C	YDR168W
Protein-Protein Interaction	YGL201C	YDR489W
Protein-Protein Interaction	YGL201C	YDR510W
Protein-Protein Interaction	YGL201C	YEL032W
Protein-Protein Interaction	YGL201C	YER161C
Protein-Protein Interaction	YGL201C	YGL113W
Protein-Protein Interaction	YGL203C	YAL053W
Protein-Protein Interaction	YGL203C	YBR023C
Protein-Protein Interaction	YGL203C	YER118C
Protein-Protein Interaction	YGL203C	YGL095C
Protein-Protein Interaction	YGL205W	YDR244W
Protein-Protein Interaction	YGL206C	YBL007C
Protein-Protein Interaction	YGL206C	YDL161W
Protein-Protein Interaction	YGL206C	YDR153C
Protein-Protein Interaction	YGL206C	YDR320C
Protein-Protein Interaction	YGL206C	YDR358W
Protein-Protein Interaction	YGL207W	YAR007C
Protein-Protein Interaction	YGL207W	YBL002W
Protein-Protein Interaction	YGL207W	YBL052C
Protein-Protein Interaction	YGL207W	YBR010W
Protein-Protein Interaction	YGL207W	YBR279W
Protein-Protein Interaction	YGL207W	YDL140C
Protein-Protein Interaction	YGL207W	YDR224C
Protein-Protein Interaction	YGL207W	YDR409W
Protein-Protein Interaction	YGL207W	YDR432W
Protein-Protein Interaction	YGL207W	YDR489W
Protein-Protein Interaction	YGL207W	YEL037C
Protein-Protein Interaction	YGL207W	YER164W
Protein-Protein Interaction	YGL207W	YGL019W
Protein-Protein Interaction	YGL208W	YDR247W
Protein-Protein Interaction	YGL208W	YDR477W
Protein-Protein Interaction	YGL208W	YER125W
Protein-Protein Interaction	YGL208W	YFL010C
Protein-Protein Interaction	YGL208W	YGL115W
Protein-Protein Interaction	YGL210W	YER136W
Protein-Protein Interaction	YGL210W	YGL198W
Protein-Protein Interaction	YGL212W	YAL047C
Protein-Protein Interaction	YGR060W	YBR106W
Protein-Protein Interaction	YGL212W	YBL050W
Protein-Protein Interaction	YGL212W	YDL077C
Protein-Protein Interaction	YGL212W	YDR080W
Protein-Protein Interaction	YGL212W	YGL161C
Protein-Protein Interaction	YGL213C	YBR059C
Protein-Protein Interaction	YGL216W	YBR160W
Protein-Protein Interaction	YGL216W	YFL037W
Protein-Protein Interaction	YGL219C	YAL005C
Protein-Protein Interaction	YGL219C	YAL048C
Protein-Protein Interaction	YGL219C	YER125W
Protein-Protein Interaction	YGL220W	YDR098C
Protein-Protein Interaction	YGL220W	YER174C
Protein-Protein Interaction	YGL223C	YER157W
Protein-Protein Interaction	YGL223C	YGL005C
Protein-Protein Interaction	YGL226C-A	YDL232W
Protein-Protein Interaction	YGL226C-A	YEL002C
Protein-Protein Interaction	YGL226C-A	YGL022W
Protein-Protein Interaction	YGL227W	YBR056W
Protein-Protein Interaction	YGL227W	YBR105C
Protein-Protein Interaction	YGL227W	YCL039W
Protein-Protein Interaction	YGL227W	YDL176W
Protein-Protein Interaction	YGL227W	YDR226W
Protein-Protein Interaction	YGL227W	YDR255C
Protein-Protein Interaction	YGL229C	YBR109C
Protein-Protein Interaction	YGL233W	YBR102C
Protein-Protein Interaction	YGL233W	YBR200W
Protein-Protein Interaction	YGL233W	YDR166C
Protein-Protein Interaction	YGL233W	YFL005W
Protein-Protein Interaction	YGL234W	YBR049C
Protein-Protein Interaction	YGL235W	YBR160W
Protein-Protein Interaction	YGL237C	YBL021C
Protein-Protein Interaction	YGL238W	YAL005C
Protein-Protein Interaction	YGL238W	YBL030C
Protein-Protein Interaction	YGL238W	YBR031W
Protein-Protein Interaction	YGL238W	YDL160C
Protein-Protein Interaction	YGL238W	YDR170C
Protein-Protein Interaction	YGL238W	YFL039C
Protein-Protein Interaction	YGL240W	YBL084C
Protein-Protein Interaction	YGL240W	YDL008W
Protein-Protein Interaction	YGL240W	YDR260C
Protein-Protein Interaction	YGL240W	YGL003C
Protein-Protein Interaction	YGL241W	YBL003C
Protein-Protein Interaction	YGL241W	YDR224C
Protein-Protein Interaction	YGL241W	YDR409W
Protein-Protein Interaction	YGL241W	YEL019C
Protein-Protein Interaction	YGL244W	YBR135W
Protein-Protein Interaction	YGL244W	YBR279W
Protein-Protein Interaction	YGL244W	YDL140C
Protein-Protein Interaction	YGL244W	YER164W
Protein-Protein Interaction	YGL244W	YGL207W
Protein-Protein Interaction	YGL245W	YDL103C
Protein-Protein Interaction	YGL245W	YER125W
Protein-Protein Interaction	YGL245W	YGL105W
Protein-Protein Interaction	YGL246C	YDR289C
Protein-Protein Interaction	YGL249W	YDL132W
Protein-Protein Interaction	YGL252C	YBR081C
Protein-Protein Interaction	YGL252C	YDR099W
Protein-Protein Interaction	YGL252C	YDR176W
Protein-Protein Interaction	YGL252C	YDR277C
Protein-Protein Interaction	YGL252C	YER177W
Protein-Protein Interaction	YGL253W	YBR193C
Protein-Protein Interaction	YGL253W	YDR477W
Protein-Protein Interaction	YGL253W	YGL035C
Protein-Protein Interaction	YGL254W	YGL154C
Protein-Protein Interaction	YGR002C	YAL011W
Protein-Protein Interaction	YGR002C	YBR231C
Protein-Protein Interaction	YGR002C	YDR190C
Protein-Protein Interaction	YGR002C	YDR225W
Protein-Protein Interaction	YGR002C	YDR334W
Protein-Protein Interaction	YGR002C	YDR359C
Protein-Protein Interaction	YGR002C	YDR485C
Protein-Protein Interaction	YGR002C	YEL018W
Protein-Protein Interaction	YGR002C	YFL024C
Protein-Protein Interaction	YGR003W	YDR139C
Protein-Protein Interaction	YGR005C	YBR017C
Protein-Protein Interaction	YGR005C	YBR089C-A
Protein-Protein Interaction	YGR005C	YBR154C
