Interaction Type	oln_id_a	oln_id_b
Protein-Protein Interaction	YJL154C	YJL053W
Protein-Protein Interaction	YJL187C	YBR133C
Protein-Protein Interaction	YJR002W	YDL153C
Protein-Protein Interaction	YJR032W	YBR155W
Protein-Protein Interaction	YJR043C	YBR088C
Protein-Protein Interaction	YJR045C	YFL016C
Protein-Protein Interaction	YJR050W	YDL209C
Protein-Protein Interaction	YJR045C	YJL143W
Protein-Protein Interaction	YJR074W	YIL147C
Protein-Protein Interaction	YJR104C	YDR510W
Protein-Protein Interaction	YKL010C	YBR082C
Protein-Protein Interaction	YKL016C	YBL099W
Protein-Protein Interaction	YKL018W	YER133W
Protein-Protein Interaction	YKL038W	YBR193C
Protein-Protein Interaction	YKL057C	YJR042W
Protein-Protein Interaction	YKL068W	YGR119C
Protein-Protein Interaction	YKL101W	YBR133C
Protein-Protein Interaction	YKL117W	YCR024C
Protein-Protein Interaction	YKL122C	YDL092W
Protein-Protein Interaction	YKL138C-A	YGR113W
Protein-Protein Interaction	YKL145W	YHR027C
Protein-Protein Interaction	YKL172W	YFR001W
Protein-Protein Interaction	YKL166C	YIL033C
Protein-Protein Interaction	YKL173W	YHR165C
Protein-Protein Interaction	YKL181W	YHL011C
Protein-Protein Interaction	YKL193C	YER133W
Protein-Protein Interaction	YKR022C	YER172C
Protein-Protein Interaction	YKR048C	YBL002W
Protein-Protein Interaction	YKR048C	YGR040W
Protein-Protein Interaction	YKR068C	YDR246W
Protein-Protein Interaction	YKR081C	YGR103W
Protein-Protein Interaction	YKR081C	YHR052W
Protein-Protein Interaction	YKR095W	YGL122C
Protein-Protein Interaction	YLL024C	YIL149C
Protein-Protein Interaction	YLL024C	YKL068W
Protein-Protein Interaction	YLL036C	YDL209C
Protein-Protein Interaction	YLL036C	YDR416W
Protein-Protein Interaction	YLL036C	YDR482C
Protein-Protein Interaction	YLL039C	YBR023C
Protein-Protein Interaction	YLL039C	YDL190C
Protein-Protein Interaction	YLL039C	YEL037C
Protein-Protein Interaction	YLL039C	YDR440W
Protein-Protein Interaction	YLL039C	YER162C
Protein-Protein Interaction	YLR006C	YDL235C
Protein-Protein Interaction	YLR015W	YDL140C
Protein-Protein Interaction	YLR026C	YKL196C
Protein-Protein Interaction	YLR055C	YDR167W
Protein-Protein Interaction	YLR055C	YHR099W
Protein-Protein Interaction	YLR071C	YHR058C
Protein-Protein Interaction	YLR079W	YDR328C
Protein-Protein Interaction	YLR127C	YFR036W
Protein-Protein Interaction	YLR135W	YBR228W
Protein-Protein Interaction	YLR191W	YDL065C
Protein-Protein Interaction	YLR166C	YAR002W
Protein-Protein Interaction	YLR191W	YGL153W
Protein-Protein Interaction	YLR332W	YCR030C
Protein-Protein Interaction	YLR212C	YHR172W
Protein-Protein Interaction	YLR208W	YKL057C
Protein-Protein Interaction	YLR229C	YJL157C
Protein-Protein Interaction	YLR268W	YGL145W
Protein-Protein Interaction	YLR285W	YLR053C
Protein-Protein Interaction	YLR291C	YER023W
Protein-Protein Interaction	YLR293C	YGR218W
Protein-Protein Interaction	YLR319C	YLL021W
Protein-Protein Interaction	YLR337C	YBL007C
Protein-Protein Interaction	YLR337C	YDL029W
Protein-Protein Interaction	YLR338W	YER021W
Protein-Protein Interaction	YLR340W	YDL081C
Protein-Protein Interaction	YLR370C	YBR234C
Protein-Protein Interaction	YLR384C	YHR187W
Protein-Protein Interaction	YLR396C	YLR148W
Protein-Protein Interaction	YLR409C	YJL069C
Protein-Protein Interaction	YLR430W	YDL140C
Protein-Protein Interaction	YLR438C-A	YGL173C
Protein-Protein Interaction	YLR442C	YDR227W
Protein-Protein Interaction	YLR447C	YKL029C
Protein-Protein Interaction	YML010W	YGL207W
Protein-Protein Interaction	YML016C	YKL088W
Protein-Protein Interaction	YML057W	YBR109C
Protein-Protein Interaction	YML065W	YLL004W
Protein-Protein Interaction	YML069W	YER164W
Protein-Protein Interaction	YML112W	YJL006C
Protein-Protein Interaction	YML109W	YDL220C
Protein-Protein Interaction	YML126C	YDR510W
Protein-Protein Interaction	YMR001C	YJR053W
Protein-Protein Interaction	YMR005W	YGR274C
Protein-Protein Interaction	YMR015C	YGR060W
Protein-Protein Interaction	YMR032W	YDL117W
Protein-Protein Interaction	YMR039C	YKL117W
Protein-Protein Interaction	YMR058W	YER145C
Protein-Protein Interaction	YMR061W	YDR228C
Protein-Protein Interaction	YMR076C	YIL026C
